Sensor 1 | count: 73 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 74 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 75 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 76 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 77 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 78 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 79 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 80 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 81 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 82 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 83 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 84 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 85 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b3
Sensor 1 | count: 86 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3
Sensor 1 | count: 87 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b3

Sensor 1 | count: 1 | 11.90°C | LQI: 67 | dbm: -75.05 | short addr: 00:33
Sensor 1 | count: 2 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 3 | 11.90°C | LQI: 22 | dbm: -90.80 | short addr: 00:33
Sensor 1 | count: 4 | 11.90°C | LQI: 64 | dbm: -76.10 | short addr: 00:33
Sensor 1 | count: 5 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:33
Sensor 1 | count: 6 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 7 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 8 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 9 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 10 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 11 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 12 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 13 | 11.90°C | LQI: 52 | dbm: -80.30 | short addr: 00:33
Sensor 1 | count: 14 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
Sensor 1 | count: 15 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:33
