 Sensor 1 | count: 147 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 148 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 149 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 150 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 151 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 152 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 153 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 154 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 155 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 156 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 158 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
